time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-08-01T15:46:23.750Z,30.3493,87.6027,10,5.2,mww,,45,2.48,0.92,us,us2000gj0i,2018-10-16T15:34:18.040Z,"118km WSW of Jiajuedibu, China",earthquake,7.1,1.8,0.086,13,reviewed,us,us
2018-07-21T09:19:36.900Z,34.2911,74.0789,40.06,4.5,mb,,108,0.928,0.81,us,us2000gakd,2018-10-04T14:15:30.040Z,"23km N of Uri, India",earthquake,7.2,8.4,0.08,46,reviewed,us,us
2018-07-21T00:40:35.810Z,34.9676,80.996,10,4.6,mb,,100,6.528,0.8,us,us2000gabl,2018-10-04T14:15:36.040Z,"212km NE of Rutog, China",earthquake,7.2,1.9,0.044,154,reviewed,us,us
2018-07-17T14:42:22.060Z,10.9238,91.8114,10,4.6,mb,,127,1.168,0.52,us,us2000g728,2018-10-04T14:15:22.040Z,"130km SW of Bamboo Flat, India",earthquake,8.1,1.9,0.087,39,reviewed,us,us
2018-07-13T12:07:58.470Z,18.9496,94.8278,10,4.7,mb,,88,2.754,0.61,us,us2000g3y7,2018-10-02T16:40:37.040Z,"43km WNW of Prome, Burma",earthquake,7.6,1.9,0.049,128,reviewed,us,us
2018-07-12T02:40:13.590Z,15.4142,94.2819,60.23,4.6,mb,,102,4.024,0.63,us,us2000g7xu,2018-10-02T16:40:44.040Z,"150km SW of Mawlamyinegyunn, Burma",earthquake,8.1,7.3,0.093,34,reviewed,us,us
2018-07-10T07:36:30.940Z,12.9343,93.4058,79.64,4.5,mb,,102,1.425,1.15,us,us2000g465,2018-10-02T16:40:38.040Z,"155km NNE of Bamboo Flat, India",earthquake,11.9,12.2,0.171,10,reviewed,us,us
2018-07-08T09:54:25.980Z,7.2201,94.3193,10.31,4.7,mb,,105,3.276,0.7,us,us2000fzqf,2018-09-27T14:03:44.040Z,"138km SE of Mohean, India",earthquake,8.8,5.2,0.112,24,reviewed,us,us
2018-07-08T09:04:19.470Z,7.2941,94.3279,16.91,4.5,mb,,122,3.315,0.55,us,us2000g427,2018-09-27T14:03:47.040Z,"134km SE of Mohean, India",earthquake,8.4,5.7,0.135,16,reviewed,us,us
2018-07-04T20:34:51.770Z,14.5358,96.4672,8.36,5.1,mww,,23,2.574,0.97,us,us2000fx4h,2018-09-27T14:03:40.040Z,"193km WNW of Dawei, Burma",earthquake,6.6,3.2,0.06,27,reviewed,us,us
2018-07-04T11:08:16.000Z,15.5507,94.3396,29.61,4.5,mb,,65,4.17,0.43,us,us2000g1d8,2018-09-27T14:03:46.040Z,"135km SW of Mawlamyinegyunn, Burma",earthquake,8,0.9,0.108,25,reviewed,us,us
2018-07-04T07:12:49.940Z,13.1648,92.4982,27.4,4.8,mww,,62,1.519,0.9,us,us2000fwle,2018-09-27T14:03:39.040Z,"163km N of Bamboo Flat, India",earthquake,7,4.4,0.098,10,reviewed,us,us
2018-07-02T03:24:43.280Z,30.3108,97.0786,10,4.5,mb,,73,5.197,0.94,us,us2000fyc6,2018-09-27T14:03:42.040Z,"33km NNE of Baima, China",earthquake,9.9,1.9,0.099,30,reviewed,us,us
2018-07-01T15:10:37.390Z,20.2592,97.9109,10,4.6,mb,,119,0.965,0.74,us,us2000ft1f,2018-09-21T16:25:58.040Z,"89km NNW of Sop Pong, Thailand",earthquake,5,1.9,0.096,32,reviewed,us,us
